"old";"new"
"Thị trấn Văn Điển";"Van Dien"
"Xã Ngũ Hiệp";"Ngu Hiep"
"Xã Đông Mỹ";"Dong My"
"Xã Yên Mỹ";"Yen My"
"Xã Duyên Hà";"Duyen Ha"
"Xã Vạn Phúc";"Van Phuc"
"Xã Tứ Hiệp";"Tu Hiep"
"Xã Thanh Liệt";"Thanh Liet"
"Xã Tam Hiệp";"Tam Hiep"
"Xã Tân Triều";"Tan Trieu"
"Xã Vĩnh Quỳnh";"Vinh Quynh"
"Xã Liên Ninh";"Lien Ninh"
"Xã Ngọc Hồi";"Ngoc Hoi"
"Xã Đại Áng";"Dai Ang"
"Xã Hữu Hoà";"Huu Hoa"
"Xã Tả Thanh Oai";"Ta Thanh Oai"
"Phường Nguyễn Trãi";"Nguyen Trai"
"Phường Mộ Lao";"Mo Lao"
"Phường Văn Quán";"Van Quan"
"Phường Yết Kiêu";"Yet Kieu"
"Phường Phúc La";"Phuc La"
"Phường Vạn Phúc";"Van Phuc"
"Phường Hà Cầu";"Ha Cau"
"Phường La Khê";"La Khe"
"Phường Phú La";"Phu La"
"Phường Kiến Hưng";"Kien Hung"
"Phường Yên Nghĩa";"Yen Nghia"
"Phường Phú Lãm";"Phu Lam"
"Phường Phú Lương";"Phu Luong"
"Phường Dương Nội";"Duong Noi"
"Phường Đồng Mai";"Dong Mai"
"Phường Biên Giang";"Bien Giang"
"Phường Lê Lợi";"Le Loi"
"Phường Ngô Quyền";"Ngo Quyen"
"Phường Sơn Lộc";"Son Loc"
"Phường Xuân Khanh";"Xuan Khanh"
"Phường Phú Thịnh";"Phu Thinh"
"Xã Xuân Sơn";"Xuan Son"
"Xã Đường Lâm";"Duong Lam"
"Xã Thanh Mỹ";"Thanh My"
"Phường Trung Sơn Trầm";"Trung Son Tram"
"Phường Sơn Đông";"Son Dong"
"Xã Cổ Đông";"Co Dong"
"Phường Trung Hưng";"Trung Hung"
"Phường Viên Sơn";"Vien Son"
"Thị trấn Tây Đằng";"Tay Dang"
"Xã Thuần Mỹ";"Thuan My"
"Xã Sơn Đà";"Son Da"
"Xã Tòng Bạt";"Tong Bat"
"Xã Phong Vân";"Phong Van"
"Xã Cổ Đô";"Co Do"
"Xã Tản Hồng";"Tan Hong"
"Xã Châu Sơn";"Chau Son"
"Xã Phú Phương";"Phu Phuong"
"Xã Phú Châu";"Phu Chau"
"Xã Minh Châu";"Minh Chau"
"Xã Chu Minh";"Chu Minh"
"Xã Đông Quang";"Dong Quang"
"Xã Thái Hòa";"Thai Hoa"
"Xã Phú Sơn";"Phu Son"
"Xã Phú Đông";"Phu Dong"
"Xã Vạn Thắng";"Van Thang"
"Xã Đồng Thái";"Dong Thai"
"Xã Vật Lại";"Vat Lai"
"Xã Cẩm Lĩnh";"Cam Linh"
"Xã Thụy An";"Thuy An"
"Xã Tiên Phong";"Tien Phong"
"Xã Cam Thượng";"Cam Thuong"
"Xã Ba Vì";"Ba Vi"
"Xã Khánh Thượng";"Khanh Thuong"
"Xã Minh Quang";"Minh Quang"
"Xã Ba Trại";"Ba Trai"
"Xã Tản Lĩnh";"Tan Linh"
"Xã Vân Hòa";"Van Hoa"
"Xã Yên Bài";"Yen Bai"
"Thị trấn Phúc Thọ";"Phuc Tho"
"Xã Vân Nam";"Van Nam"
"Xã Vân Phúc";"Van Phuc"
"Xã Xuân Phú";"Xuan Phu"
"Xã Cẩm Đình";"Cam Dinh"
"Xã Phương Độ";"Phuong Do"
"Xã Sen Chiểu";"Sen Chieu"
"Xã Võng Xuyên";"Vong Xuyen"
"Xã Long Xuyên";"Long Xuyen"
"Xã Thượng Cốc";"Thuong Coc"
"Xã Hát Môn";"Hat Mon"
"Xã Thọ Lộc";"Tho Loc"
"Xã Tích Giang";"Tich Giang"
"Xã Phúc Hòa";"Phuc Hoa"
"Xã Ngọc Tảo";"Ngoc Tao"
